id,name,description,department_id,offered_to
1,Artificial Intelligence and Machine Learning,"This interdisciplinary concentration covers artificial intelligence and machine learning. It will provide the students with the required knowledge to develop intelligent techniques and systems. Students are exposed to topics such as machine learning, deep learning, computer vision, and natural language processing. Furthermore, it also covers perception, motion and manipulation, and reinforcement learning. It promotes interdisciplinary education where computer science intersects with mathematics and engineering. The applications of this concentration are wide-ranging and include automatic image and video processing, healthcare, financial data and trading, speech recognition, facial identification, and seismic survey processing.",25,"COE, CS, SWE"
2,Automated Construction Management,"This interdisciplinary program covers a variety of knowledge areas in Automated Construction Management (ACM). These areas broadly include construction planning, scheduling and cost control, integrated project delivery systems, quality and project management, emerging automation technologies, introduction to different types of construction robots, use of drones, Artificial Intelligence (AI), Building Information Modelling and automation in construction management. These knowledge areas enable graduates to effectively apply the latest technologies to manage construction projects from the planning stage until the project completion. The applications of this program are wide-ranging, as they are relevant to private and public construction projects in Saudi Arabia, as well as, in line with the fourth industrial revolution in construction (IR 4.0), and it is widely applicable in diverse types of construction projects, including building, industrial and heavy construction.",6,"ARE, ARC, CE, CIE"
3,Bioelectronics and Sensors,"This interdisciplinary concentration merges two fields: biology and electronics. Bioelectronics and sensor as a field is considered a major contributor to the advances in the medical field. Examples of bioelectronics applications include electrocardiographs (ECG), electroencephalograph (EEG), cochlear implants, cardiac peacemaker, blood glucose meter and blood pressure monitors. This concentration is designed to equip the students with the fundamentals and concepts necessary for them to understand, design and implement a complete bioelectronics system. Topics covered in this concertation include cell biology, bioelectricity, physical operation and micro/nanofabrication techniques of biosensors, analogy front end conditioning techniques for biosignals. Students are also introduced to embedded systems programming and interfacing.",16,"EE, CIE"
4,Building and Construction Safety,"This program provides a variety of knowledge areas on building and construction safety. It will address topics on safe and healthy built environment, safe design principles, ergonomics and human factors in design, hazard identification, risk assessment, provision and upkeep of fire safety systems, and address the impact of air quality on workers' safety, health and productivity. The program will provide more employment opportunities, pave the way for pursuing further education in topics related to building and construction safety, and facilitate certification in professional societies, such as OSHA. The main outcome of the construction area is that it will enable students to apply the principles of safe design, construction, and operation of building and construction projects, and implement procedures to identify, assess, monitor, and control the occurrence of unsafe conditions.",6,"ARE, ARC, CE"
5,Business Analytics,"This interdisciplinary program covers fundamental concepts and tools needed for understanding business analytics in organizations, with focus on data and models to explain the performance of a business and to inform business decisions and actions. Topics include regression methods (least squares, polynomial, parameter estimation, confidence intervals, tests of hypotheses, etc.), data analytics (pre-processing, analytical methods, multi-dimensionality, knowledge discovery, visualization, clustering, forecasting, descriptive analytics, decision support, intelligent systems), and application of these analytics (classification, multi-criteria decision making, neural network, recommender systems, etc.). The program also covers big data analysis, including big data collection, preparation, preprocessing, warehousing, interactive visualization, analysis, scrubbing, mining, management, modeling, and tools such as Hadoop, Map-Reduce, Apache Spark, etc. Students apply these concepts to relevant business examples.",4,"MGT, FIN, ACCT, MIS, MKT"
6,Climate Change Adaptation,"This interdisciplinary program tackles a very important area of study as the world grapples with the implications of climate change. The program covers the three main strategies adopted worldwide and in Saudi Arabia in response to climate change effects; namely: mitigation, adaptation, and climate engineering or geoengineering. Mitigation techniques such as carbon capture and storage are discussed in this program. Moreover, the program introduces students to the concepts of incremental adaptation (maintaining the integrity of a system), and transformational adaptation (changing the fundamental properties of a system). Several adaptation techniques are discussed in this program such as climate-proofing, local adaptation, enhancing adaptive capacity, adaptive agricultural production, irrigation retrofit, and reforestation. Climate engineering topics are also introduced in this program related to weather control, solar radiation management, and carbon dioxide removal. Contemporary topics, such as climate adaptation policy, and joint adaptation between countries or in areas of conflict are also part of this program.",8,"CE, CHE, GEOL, GEOP, PETE"
7,Cloud Computing,"This interdisciplinary program focuses on the development of Internet-scale applications that can serve millions of users at the same time. The program includes topics that span the disciplines of computer engineering, computer science, and software engineering. These topics include Cloud architectures and enabling technologies, Cloud services and deployment models, infrastructure as code, software-defined infrastructures, principles of distributed systems, distributed programming models, Web applications, and Cloud-native applications. The program also covers the modern software engineering practices for Cloud applications development and deployment, software architectures for Cloud applications, and design patterns and tools for performance, dependability, and security. This program is distinguished by its hands-on approach to teaching. Students will come out of the program with the motivation, tools, and confidence they need to successfully apply Cloud computing to create business value.",24,"ICS, COE, SWE"
8,Communication Systems,"This interdisciplinary program focuses on contemporary and novel topics in communications, for both military and civilian applications, including communication networks and protocols and digital communication systems (including wireless 5G and 6G) in both sub-gigahertz and mm-wave bands. The concentration focuses on all communication layers, starting from the physical and ending with the application layer. Topics include network architectures, physical layer protocols, digital transmission, data link layer protocols, packet and circuit switching, baseband transmission, performance in the presence of noise, signal-space analysis, modulation schemes, channel capacity, cellular propagation modeling, cellular frequency planning, link control, handoffs, power control, traffic capacity, multiple access techniques, current and future wireless standards, optical communications, passive and active optical components, optical modulation and demodulation, etc.",16,EE
9,Computer Networks,"The concentration is designed to introduce students to wired/wireless computer networks, design aspects of computer networks, network management and security and internet and cloud engineering.",24,"COE, CS, EE, CIE, SWE"
10,Corrosion and Materials Degradation (NEW),"This interdisciplinary concentration provides the students with the required fundamental understanding of electrochemical corrosion engineering and materials degradation. Students are exposed to topics such as corrosion types and mechanisms, and materials' degradation. Furthermore, it also equips students with the ability to use numerical and analytical techniques to predict and evaluate corrosion phenomena in order to develop sound corrosion management plans. In addition, it promotes interdisciplinary education where materials science and engineering intersect with chemistry and mathematics and other engineering disciplines. The applications of this concentration are wide-ranging and include oil and gas industries, petrochemical industries, desalination plants and constructions.",29,"MSE, CHEM, ME, CE, ISE"
