id,code,title,lecture_hours,lab_hours,credits,department_id,type,description,prerequisites
1,SWE 205,Introduction to Software Engineering,3,0,3,22,Undergraduate,Introduction to software engineering and software processes. Construction techniques and principals. Concepts of Programming Languages: Syntax and semantics. Analysis and Design Modes. Ethical and professional responsibilities.,
2,SWE 206,Introduction to Software Engineering,2,3,3,22,Undergraduate,"Introduction to software engineering discipline, software process, requirements analysis and design models. Understanding of ethical and professional issues of software engineering discipline.",
3,SWE 214,Introduction to Software Engineering,3,3,4,22,Undergraduate,"Study of software engineering process models, requirements engineering process, and system models. Methods, tools, notations, and verification and validation techniques for the analysis and specification of software requirements. Introduction to the principles of project management. Students participate in a group project on software requirements.",
4,SWE 215,Software Requirements Engineering,2,3,3,22,Undergraduate,"Requirements engineering process. Methods, tools and techniques for eliciting, organizing and documenting software requirements. Analysis and validation techniques, including need, goal, and use case analysis. Requirements documentation standards. Traceability. Requirements management. Handling requirements changes. Students participate in a group project on software requirements.",
5,SWE 216,Software Requirements Engineering,3,0,3,22,Undergraduate,"Requirements engineering process. Methods, tools and techniques for eliciting, organizing and documenting software requirements. Analysis and validation techniques, including need, goal, and use case analysis. Requirements documentation standards. Traceability. Requirements management. Handling requirements changes. Capturing usability requirements and developing UI prototypes based on requirements. Students participate in a group project on software requirements.",
6,SWE 302,Game Programming,3,0,3,22,Undergraduate,Introduction to games; Game programming principles; Game development engines: PyGame and Unity3D; Game data structures; Game intelligence; Simulation; Graphics and animation; Collision detection; Strategy games; Action games; Games research; Application of games to other domains.,
7,SWE 311,Principles of Software Engineering,3,3,4,22,Undergraduate,History and overview of software engineering. Software processes. Software project management. Software requirements and specification. Software design. Software testing and validation. Software metrics. Software quality assurance. Software evolution. Using APIs. Software tools and environments.,
8,SWE 312,User-Interface Design,3,0,3,22,Undergraduate,"Study of both theoretical and practical issues in human-computer interfaces. Principles of user interface design, development, and programming. Topics include user psychology and cognitive science, adaptive user interfaces, icon and window design, media design, command language design, user guidance systems, and collaborative working.",
9,SWE 316,Software Design and Construction,3,0,3,22,Undergraduate,"Study of design concepts and notations. Architecture, construction and design patterns. Designing for different qualities criteria. Design evolution processes and activities.",
10,SWE 321,Formal Methods and Models in Software Engineering,3,0,3,22,Undergraduate,"Mathematical foundations for formal methods. Formal languages and techniques for specification and design, including specifying syntax using grammars and finite state machines. Analysis and verification of specifications and designs. Use of assertions and proofs. Automated program and design transformation.",
