id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
1,17,Graduate,N/A,AE 520,Aerodynamics of Compressible Flow,0,0,0,0
2,17,Graduate,N/A,AE 540,Flight Dynamics and Control,0,0,0,0
3,17,Graduate,N/A,MATH 513/514/550,Mathematical Methods for Engineers/Advanced Mathematical Methods /Linear Algebra,0,0,0,0
4,17,Graduate,N/A,AE 610,M.S Thesis,0,0,0,0
5,17,Graduate,N/A,Aerodynamics of Compressible Flow,AE 520,0,0,0,0
6,17,Graduate,N/A,Advanced Mathematics,MATH 5xx,0,0,0,0
7,17,Graduate,N/A,AE Elective I,AE xxx,0,0,0,0
8,17,Graduate,N/A,Seminar,AE 599,0,0,0,0
9,17,Graduate,N/A,Flight Dynamics and Control,AE 540,0,0,0,0
10,17,Graduate,N/A,AE Elective II,AE 5xx,0,0,0,0
11,17,Graduate,N/A,Technical,XX xxx,0,0,0,0
12,17,Graduate,N/A,M.S Thesis,AE 610,0,0,0,0
13,17,Graduate,N/A,Technical Elective II,XX xxx,0,0,0,0
14,17,Graduate,N/A,Free Elective,XX 5xx,0,0,0,0
15,17,Graduate,N/A,M.S Thesis,AE 610,0,0,0,0
16,17,Graduate,N/A,Aerodynamics of Compressible Flow,AE 520,0,0,0,0
17,17,Graduate,N/A,Advanced Mathematics,MATH 5xx,0,0,0,0
18,17,Graduate,N/A,AE Elective I,AE xxx,0,0,0,0
19,17,Graduate,N/A,Seminar,AE 599,0,0,0,0
20,17,Graduate,N/A,Flight Dynamics and Control,AE 540,0,0,0,0
21,17,Graduate,N/A,AE Elective II,AE 5xx,0,0,0,0
22,17,Graduate,N/A,Technical,XX xxx,0,0,0,0
23,27,Graduate,N/A,MATH 513,Mathematical Methods for Engineers,0,0,0,0
24,27,Graduate,N/A,CHE 513,Advanced Thermodynamics,0,0,0,0
25,27,Graduate,N/A,CHE 530,Advanced Reaction Engineering,0,0,0,0
26,27,Graduate,N/A,CHE 501,Transport Phenomena,0,0,0,0
27,27,Graduate,N/A,CHE 560,Numerical Methods in Chemical Engineering,0,0,0,0
28,27,Graduate,N/A,CHE 599,Seminar,0,0,0,0
29,27,Graduate,N/A,CHE 610,M.S. Thesis,0,0,0,0
30,27,Graduate,N/A,CHE XXX,CHE Elective,0,0,0,0
